Omega,x_re,x_im,x0,v0,floquet,stable
0.777,2.2672214594995976,0.0,(0.04111514690650768+0j),(1.9529386562836137+0j),[0.79970607+0.j 0.87608379+0.j],True
0.776,2.2693846787539815,-0.002697019073370975,(0.11511130086734103+0.0702471086494242j),(1.9505463563578052-0.00710010943354533j),[0.68821756-0.05034128j 1.01212382+0.07403416j],False
0.775,2.275165608461175,-0.00471754675058134,(0.11522982169969168+0.1237597578085818j),(1.9556151255215632-0.012472517415239243j),[0.67083042-0.07860817j 1.02929932+0.1206137j ],False
0.774,2.28091164996173,-0.006065857504034751,(0.11534549801518712+0.16027122126757867j),(1.9606562750977894-0.016105653719870276j),[0.65823215-0.0939712j  1.0416829 +0.14871379j],False
0.773,2.2866229487566767,-0.007134705038793784,(0.1154583655445521+0.18985453094336882j),(1.9656697967307621-0.019024000190858745j),[0.64802077-0.10476507j 1.0516765 +0.17002381j],False
0.772,2.2922996385827505,-0.00803709546508967,(0.11556846485782891+0.21538098044890697j),(1.9706556604517629-0.02152068481020486j),[0.63928  -0.11315497j 1.0601964+0.18765875j],False
0.771,2.297941864648513,-0.00882488142146012,(0.11567582823022299+0.23815639693195353j),(1.97561385489919-0.023729495501124975j),[0.63154987-0.12004967j 1.06770252+0.2029568j ],False
0.77,2.303549767880531,-0.009527106765571041,(0.11578049005581746+0.25890569890319054j),(1.9805443600128023-0.025724971455957146j),[0.62456299-0.12592041j 1.07446223+0.21662623j],False
0.769,2.309123489029508,-0.010162043469343011,(0.11588248396587703+0.2780808417921412j),(1.9854471541575025-0.027553754728648076j),[0.61814867-0.13104411j 1.08064617+0.22909103j],False
0.768,2.3146631686711916,-0.010742105707061633,(0.1159818427746621+0.2959860922649831j),(1.9903222141523702-0.029247362646736465j),[0.61219064-0.13559775j 1.0863706 +0.24062669j],False
0.767,2.3201689491629676,-0.011276205230172903,(0.1160785981395542+0.3128378668002471j),(1.9951695187491838-0.030828297127435855j),[0.60660576-0.13970148j 1.09171862+0.25142311j],False
0.766,2.3256409660479442,-0.011771006698889513,(0.11617278634954642+0.32879649892269436j),(1.9999890332365735-0.032313294128230585j),[0.60133233-0.14344068j 1.0967519 +0.26161712j],False
0.765,2.3310793607725806,-0.012231661613142509,(0.1162644417991159+0.34398477161167856j),(2.0047807320978985-0.033715219439784096j),[0.59632319-0.14687826j 1.10151756+0.27131089j],False
0.764,2.336484274401978,-0.012662254536846057,(0.11635358847260921+0.3584991252449864j),(2.009544588430826-0.035044216723149044j),[0.5915414 -0.15006193j 1.10605251+0.28058286j],False
0.763,2.3418558467067814,-0.013066093422774063,(0.11644025564375357+0.3724169286914125j),(2.0142805716252776-0.03630845671264284j),[0.58695745-0.15302876j 1.11038623+0.28949463j],False
0.762,2.3471942173295837,-0.013445905463228061,(0.1165244717821462+0.38580136878200566j),(2.018988649700961-0.037514638983447035j),[0.58254734-0.15580812j 1.11454267+0.29809559j],False
0.761,2.3524995257357078,-0.013803973082726231,(0.11660626500929656+0.3987048317290387j),(2.0236687891997556-0.03866834026578521j),[0.5782913 -0.15842367j 1.11854157+0.30642595j],False
0.76,2.357771911251795,-0.014142231259007137,(0.11668566281593569+0.411171314324091j),(2.0283209552879433-0.03977426307011801j),[0.57417279-0.16089478j 1.12239942+0.31451892j],False
0.759,2.3630115130672884,-0.014462338843077006,(0.11676269207666211+0.423238184255124j),(2.0329451117767157-0.04083641751101759j),[0.57017786-0.16323749j 1.12613013+0.3224023j ],False
0.758,2.3682184702363283,-0.014765731927358177,(0.11683737906412085+0.43493749234645207j),(2.0375412211420074-0.04185825705546713j),[0.56629463-0.16546525j 1.12974557+0.3300996j ],False
0.757,2.3733929216810234,-0.015053664514290022,(0.1169097494629876+0.4462969686996751j),(2.042109244545103-0.04284278173043206j),[0.56251285-0.16758944j 1.13325591+0.3376309j ],False
0.756,2.378535006194956,-0.015327240009231465,(0.11697982838368891+0.45734079108186393j),(2.0466491418519026-0.04379261785812585j),[0.55882365-0.16961976j 1.13667   +0.34501349j],False
0.755,2.383644862447361,-0.015587435958099834,(0.1170476403749343+0.46809018614385506j),(2.0511608716530105-0.04471008054273979j),[0.5552193 -0.17156459j 1.13999552+0.35226237j],False
