Omega,x_re,x_im,x0,v0,floquet,stable
0.75,2.408715564225121,0.016715313257505957,(0.1173535178483925-0.5180099394577395j),(2.073295471900501+0.04887654031446803j),[0.53825749+0.1802305j  1.15550576-0.38691032j],False
0.749,2.4136349558705934,0.016910774568586223,(0.1174082138172068-0.5273230417102347j),(2.077637258081065+0.049636139210310216j),[0.53504334+0.18178687j 1.15841779-0.39358521j],False
0.748,2.4185230864543694,0.017097438534968465,(0.11746079935972677-0.5364381208448338j),(2.081950552839623+0.05037403159310156j),[0.53187955+0.18329343j 1.1612754 -0.4001924j ],False
0.747,2.423380093663357,0.01727574888708938,(0.11751129550230385-0.5453641686798554j),(2.0862353051996334+0.051091230239550436j),[0.52876298+0.18475329j 1.16408169-0.40673787j],False
0.746,2.42820611507744,0.01744611436380965,(0.11755972225664013-0.5541094003663397j),(2.0904914631270133+0.05178866397975502j),[0.52569077+0.18616926j 1.16683946-0.41322704j],False
0.745,2.433001288154057,0.017608912507207523,(0.11760609918256375-0.562681343024857j),(2.094718973499234+0.05246718720775084j),[0.52266031+0.18754386j 1.16955128-0.41966486j],False
0.744,2.437765750228998,0.01776449294705011,(0.11765044539735112-0.5710869117979193j),(2.0989177821229377+0.05312758793650038j),[0.51966921+0.1888794j  1.17221946-0.42605586j],False
0.743,2.442499638524873,0.017913180243445695,(0.11769277958517996-0.5793324754251848j),(2.1030878337514887+0.05377059475619361j),[0.51671529+0.19017798j 1.17484614-0.4324042j ],False
0.742,2.4472030901493147,0.01805527635783426,(0.11773312000532382-0.5874239130532015j),(2.1072290721029328+0.054396882873468895j),[0.51379654+0.1914415j  1.17743327-0.43871371j],False
0.741,2.451876242093082,0.018191062813399404,(0.11777148450111916-0.5953666636648328j),(2.1113414398768007+0.05500707937639573j),[0.51091111+0.1926717j  1.17998266-0.44498792j],False
0.74,2.4565192312294433,0.01832080259176875,(0.11780789050801638-0.603165769271294j),(2.115424878771619+0.05560176784372241j),[0.50805727+0.1938702j  1.18249594-0.45123009j],False
0.739,2.4611321943142728,0.01844474180480836,(0.11784235506150621-0.6108259127995839j),(2.1194793295022993+0.056181492395962075j),[0.50523346+0.19503847j 1.18497466-0.45744327j],False
0.738,2.465715267986339,0.018563111173629118,(0.11787489480581854-0.618351451446169j),(2.1235047318163587+0.05674676126912197j),[0.50243819+0.19617787j 1.1874202 -0.46363028j],False
0.737,2.4702685887686995,0.018676127340820966,(0.11790552599997642-0.6257464461492597j),(2.127501024511679+0.05729804997807366j),[0.49967012+0.19728964j 1.18983388-0.46979375j],False
0.736,2.4747922930609585,0.018783994027326056,(0.1179342645268821-0.6330146877081756j),(2.131468145452337+0.05783580412677393j),[0.49692796+0.19837495j 1.19221689-0.47593613j],False
0.735,2.4792865170614387,0.0188869030745379,(0.11796112628927449-0.6401597195465676j),(2.1354060314085914+0.058360441992672485j),[0.49421054+0.19943488j 1.19457036-0.48205972j],False
0.734,2.4837513964455415,0.018985035203364056,(0.11798612867432855-0.6471848563953665j),(2.1393146173217823+0.05887235698738579j),[0.49151674+0.20047041j 1.19689533-0.48816668j],False
0.733,2.488187067706849,0.019078561415516393,(0.11800928520287293-0.6540932112284509j),(2.1431938393558982+0.0593719189005997j),[0.48884555+0.20148248j 1.19919275-0.49425904j],False
0.732,2.492593666825488,0.01916764321613222,(0.1180306099184915-0.660887703409187j),(2.1470436319671307+0.059859476151986224j),[0.486196  +0.20247196j 1.20146353-0.50033869j],False
0.731,2.4969713295664127,0.01925243344367852,(0.11805011716194706-0.6675710756306399j),(2.1508639285381657+0.060335357571608766j),[0.48356717+0.20343963j 1.2037085 -0.50640745j],False
0.73,2.501320191601641,0.019333076913937073,(0.1180678207981981-0.6741459081202364j),(2.154654661693608+0.06079987369112591j),[0.48095822+0.20438627j 1.20592845-0.51246701j],False
0.729,2.5056403884974214,0.01940971098132581,(0.11808373432720169-0.6806146307146463j),(2.1584157632845806+0.06125331809560662j),[0.47836835+0.20531257j 1.20812408-0.51851897j],False
0.728,2.5099320556735125,0.01948246604605476,(0.11809787101603011-0.6869795336045702j),(2.1621471643107957+0.06169596864665393j),[0.47579682+0.2062192j  1.21029609-0.52456486j],False
0.727,2.514195328419609,0.01955146601265191,(0.11811024382685457-0.6932427774532232j),(2.165848794986768+0.062128088564358044j),[0.47324291+0.20710676j 1.2124451 -0.53060611j],False
0.726,2.5184303418841525,0.01961682871909058,(0.11812086542336842-0.6994064024454582j),(2.169520584749459+0.0625499274229843j),[0.47070596+0.20797584j 1.21457171-0.53664411j],False
0.725,2.5226372310972436,0.01967866633570022,(0.118129748171678-0.7054723366361352j),(2.1731624623043038+0.06296172206748599j),[0.46818533+0.20882699j 1.21667646-0.54268014j],False
0.724,2.526816130955373,0.019737085718474642,(0.11813690415066794-0.7114424034141287j),(2.176774355615082+0.06336369744140305j),[0.46568045+0.20966071j 1.21875987-0.54871546j],False
0.723,2.530967176221052,0.01979218873910567,(0.1181423451568493-0.7173183284071524j),(2.1803561919245595+0.0637560673509992j),[0.46319075+0.2104775j  1.22082242-0.55475125j],False
0.722,2.5350905015219873,0.019844072588838205,(0.11814608270970016-0.7231017457979199j),(2.183907897772845+0.06413903516629665j),[0.4607157 +0.2112778j  1.22286455-0.56078864j],False
0.721,2.5391862413495345,0.01989283005862784,(0.1181481280566859-0.7287942041099683j),(2.187429399013265+0.06451279446494132j),[0.45825479+0.21206204j 1.2248867 -0.56682871j],False
0.72,2.543254530057953,0.019938549798135252,(0.1181484921786849-0.7343971715238929j),(2.190920620828877+0.06487752962543199j),[0.45580756+0.21283064j 1.22688923-0.5728725j ],False
0.719,2.547295501768262,0.019981316540722452,(0.1181471863358195-0.7399120402027857j),(2.194381487505559+0.06523341651573189j),[0.45337355+0.21358396j 1.22887253-0.57892099j],False
0.718,2.5513092905644137,0.02002121134839685,(0.1181442209909619-0.7453401319737201j),(2.1978119229481488+0.06558062272340764j),[0.45095234+0.21432239j 1.23083693-0.58497513j],False
0.717,2.555296030441151,0.02005831180213311,(0.11813960598769825-0.7506827022197365j),(2.201211850595359+0.06591930805527235j),[0.44854353+0.21504625j 1.23278274-0.59103585j],False
