Omega,x,x0,v0,stable,floquet
0.4,3.1576745328594726,0.9729024177932803,2.002341470232129,False,[-1.70947264e-03 -2.92787378e+02]
0.401,3.157295552045568,0.9478704976458568,2.013494920177691,False,[-1.82060233e-03 -2.75835245e+02]
0.402,3.1569072467292614,0.922661074546718,2.024444994910674,False,[-1.93625345e-03 -2.59846479e+02]
0.403,3.1565092692644536,0.8972745561411504,2.035185557068053,False,[-2.05656801e-03 -2.44759756e+02]
0.404,3.156101268174112,0.8717113199870992,2.0457104591237143,False,[-2.18835677e-03 -2.30522081e+02]
0.405,3.1556828906631114,0.8459714897358857,2.05601363003746,False,[-2.32701544e-03 -2.17089908e+02]
0.406,3.155253734320062,0.820055116302406,2.0660889913269296,False,[-2.47628370e-03 -2.04406862e+02]
0.407,3.1548133636466655,0.7939619960454081,2.075930520351017,False,[-2.63348155e-03 -1.92415250e+02]
0.408,3.154361505656703,0.7676918041325362,2.085532189944758,False,[-2.80344379e-03 -1.81128605e+02]
0.409,3.153897583957716,0.7412440375771201,2.09488797572423,False,[-2.98424999e-03 -1.70452517e+02]
0.41,3.1534211990531644,0.7146178328876965,2.1039919116414745,False,[-3.17704603e-03 -1.60371312e+02]
0.411,3.1529318634382326,0.6878122582162544,2.1128379709254634,False,[-3.38326850e-03 -1.50845821e+02]
0.412,3.1524290840155196,0.6608260086107134,2.121420156919698,False,[-3.60405371e-03 -1.41845336e+02]
0.413,3.1519123519553873,0.6336575085438152,2.129732449129713,False,[-3.84011979e-03 -1.33343070e+02]
0.414,3.151381106713962,0.6063048914544817,2.137768791133564,False,[-4.09364422e-03 -1.25306469e+02]
0.415,3.1508347844323112,0.578765932590917,2.1455230905676608,False,[-4.36422696e-03 -1.17711712e+02]
0.416,3.150272777769273,0.5510380179576474,2.1529892031413285,False,[-4.65409395e-03 -1.10532904e+02]
0.417,3.1496944511414564,0.5231181689966491,2.160160900731562,False,[-4.96671847e-03 -1.03746641e+02]
0.418,3.1490991327666964,0.4950029526882752,2.167031867611509,False,[-5.30255178e-03 -9.73307336e+01]
0.419,3.1484861127291985,0.4666883934327179,2.1735956890622954,False,[-5.66442580e-03 -9.12645402e+01]
0.42,3.1478546447113747,0.4381701522759743,2.179845776195473,False,[-6.05323814e-03 -8.55291216e+01]
0.421,3.147203927016312,0.4094431737925111,2.1857754090935035,False,[-6.47357930e-03 -8.01051868e+01]
0.422,3.146533116449218,0.3805018025584904,2.1913776654402173,False,[-6.92742143e-03 -7.49760125e+01]
0.423,3.1458413110826258,0.3513397231495268,2.1966453870670817,False,[-7.41800036e-03 -7.01250082e+01]
0.424,3.1451275531992504,0.3219497834545489,2.201571159771011,False,[-7.94940008e-03 -6.55374163e+01]
0.425,3.144390816368994,0.2923241163975708,2.2061472340202184,False,[-8.52606046e-03 -6.11985601e+01]
0.426,3.1436299999232102,0.262453789559012,2.21036551686664,False,[-9.15301217e-03 -5.70948118e+01]
0.427,3.142843922360533,0.2323289244073315,2.214217478026072,False,[-9.83556438e-03 -5.32131767e+01]
0.428,3.1420313147193326,0.2019385239202651,2.2176940945205934,False,[-1.05804453e-02 -4.95417040e+01]
0.429,3.1411908067510796,0.1712701874832771,2.220785789469512,False,[-1.13949408e-02 -4.60693294e+01]
0.43,3.140320911011118,0.1403101537043876,2.2234823188744643,False,[-1.22882152e-02 -4.27849810e+01]
0.431,3.1394200153639966,0.1090430675997089,2.2257726767727464,False,[-1.32700247e-02 -3.96784979e+01]
0.432,3.138486362307875,0.0774516596450503,2.2276449814665127,False,[-1.43525054e-02 -3.67403550e+01]
0.433,3.1375180335888704,0.0455165637029601,2.229086325097461,False,[-1.55496743e-02 -3.39618907e+01]
0.434,3.1365129168452888,0.0132161061116174,2.230082602199664,False,[-1.68785167e-02 -3.13341678e+01]
0.435,3.135468687922385,-0.0194741713297942,2.230618315850444,False,[-1.83592445e-02 -2.88491850e+01]
0.436,3.1343827717626493,-0.0525819676581125,2.2306763335235296,False,[-2.64993645e+01 -2.00164006e-02]
0.437,3.133252303106658,-0.0861386752570108,2.2302375921666684,False,[-2.42775302e+01 -2.18799534e-02]
0.438,3.1320740800596436,-0.1201798933043639,2.229280747167512,False,[-22.17690904  -0.02398705]
0.439,3.130844492128946,-0.1547465493699481,2.2277817259549253,False,[-20.19093101  -0.02638437]
0.44,3.129559455576638,-0.1898856447043319,2.2257131827321697,False,[-18.31364464  -0.0291306 ]
0.441,3.1282143065343377,-0.2256515470447676,2.2230438085351083,False,[-16.53910382  -0.03230223]
0.442,3.1268036826921004,-0.2621076974252899,2.2197374404822283,False,[-14.86187401  -0.0359986 ]
0.443,3.1253213590130255,-0.2993286136430866,2.2157519209554613,False,[-13.27667652  -0.04035376]
0.444,3.1237600331525623,-0.3374028587890018,2.2110375625163443,False,[-11.77855426  -0.04555024]
0.445,3.1221110462527624,-0.3764362849070076,2.205535177257292,False,[-10.36250709  -0.05184735]
0.446,3.120363980584044,-0.4165579014143546,2.199173196256732,False,[-9.02394675 -0.05962101]
0.447,3.1185061077987593,-0.4579266973455483,2.1918637940746444,False,[-7.75812227 -0.06944499]
0.448,3.116521586730165,-0.5007423969023879,2.1834971683282074,False,[-6.56022863 -0.08223912]
0.449,3.114390255068107,-0.5452614657253837,2.173932972591321,False,[-5.42504717 -0.09958446]
0.45,3.1120857548126635,-0.5918216591505298,2.162987047674213,False,[-4.3460563  -0.12447825]
0.451,3.1095724070099413,-0.6408840286711693,2.1504092523986715,False,[-3.31340375 -0.16349531]
0.452,3.1067997692274774,-0.6931050941502921,2.1358449121077663,False,[-2.30525708 -0.2353144 ]
0.453,3.10369217548407,-0.7494768630510494,2.1187606892149056,False,[-1.20945619 -0.44912302]
0.454,3.1001262622281622,-0.8116275732598422,2.098285405270396,True,[-0.41406363+0.61030869j -0.41406363-0.61030869j]
0.455,3.095873052880973,-0.8826005051449836,2.0727998714535527,True,[-0.02326731+0.73764017j -0.02326731-0.73764017j]
0.456,3.0903965227438177,-0.9695685669152806,2.0385107566011977,True,[0.34436872+0.65329327j 0.34436872-0.65329327j]
