Omega,x,x0,v0,mu1,mu2,stable
0.40095,3.1272278158684776,-1.7793654383099522,1.5586478839356406,(0.029273350457515335+0j),(217.67336813044403+0j),False
0.40096,3.127220277524049,-1.7792721188319287,1.5587202306335048,(-0.011832196322757227+0j),(217.37730256779832+0j),False
0.40097,3.1272127382806376,-1.7791787967580077,1.5587925753829701,(0.015015449534985237+0j),(217.3609968107403+0j),False
0.40098,3.127205198138166,-1.7790854720878162,1.5588649181839918,(-0.06822320527226111+0j),(217.10730551632696+0j),False
0.40099,3.1271976570964957,-1.7789921448215196,1.5589372590361052,(-0.014977248675677401+0j),(216.98572579679603+0j),False
0.401,3.127190115155616,-1.7788988149588134,1.5590095979392111,(0.03352559540417133+0j),(216.78562668325776+0j),False
0.40101,3.1271825723153936,-1.778805482499966,1.5590819348927645,(-0.035547331349334854+0j),(216.59950660479535+0j),False
0.40102,3.127175028575742,-1.7787121474447176,1.5591542698966314,(0.01966713453475677+0j),(216.48960089277716+0j),False
0.40103,3.127167483936563,-1.7786188097930795,1.5592266029504667,(0.15999809827189893+0j),(216.32154328314027+0j),False
0.40104,3.127159938397773,-1.7785254695448205,1.5592989340541146,(-0.020615105942852097+0j),(216.56142297060524+0j),False
0.40105,3.127152391959274,-1.778432126700178,1.5593712632070544,(0.027094492569631257+0j),(216.23288895271799+0j),False
0.40106,3.127144844620979,-1.7783387812589242,1.5594435904091268,(-0.023734180569590535+0j),(216.1072306871556+0j),False
0.40107,3.127137296382794,-1.7782454332210393,1.5595159156600105,(-0.0063140040865619085+0j),(215.98052225543051+0j),False
0.40108,3.1271297472446293,-1.7781520825864368,1.559588238959439,(-0.12312231280884589+0j),(215.8026845522936+0j),False
0.40109,3.1271221972063943,-1.7780587293550973,1.5596605603070874,(0.022113073418040585+0j),(215.62348526579808+0j),False
0.4011,3.1271146462679957,-1.7779653735269725,1.5597328797026613,(0.10311728427132039+0j),(215.15986941392384+0j),False
0.40111,3.127107094429343,-1.7778720151019078,1.5598051971459417,(-0.016903161752452434+0j),(215.18143297170627+0j),False
0.40112,3.1270995416903435,-1.7777786540799125,1.5598775126365856,(0.042034575616526126+0j),(215.17581065758804+0j),False
0.40113,3.1270919880509074,-1.7776852904610572,1.5599498261742035,(0.08050926180476381+0j),(214.89322319165876+0j),False
0.40114,3.12708443351094,-1.777591924245073,1.5600221377586654,(-0.016218227657191164+0j),(214.96743040172805+0j),False
0.40115,3.127076878070354,-1.7774985554319795,1.5600944473896228,(0.17714108926156769+0j),(214.53317963895188+0j),False
0.40116,3.1270693217290573,-1.7774051840218728,1.5601667550666627,(-0.029481590024261095+0j),(214.54710429522584+0j),False
0.40117,3.127061764486953,-1.7773118100144933,1.5602390607896504,(-0.03148989477995201+0j),(214.76760559296326+0j),False
0.40118,3.1270542063439573,-1.7772184334098438,1.5603113645582491,(-0.02344896440536104+0j),(214.34775403023286+0j),False
0.40119,3.1270466683111104,-1.7771250542078978,1.560383666372141,(0.06016401128090365+0j),(214.36220555642012+0j),False
0.4012,3.1270391859101094,-1.7770316724084438,1.560455966231156,(-0.030547597020813555+0j),(214.29772534560107+0j),False
0.40121,3.127031702621731,-1.7769382880116602,1.5605282641348188,(-0.028894921169012378+0j),(213.97905711911062+0j),False
0.40122,3.1270242184458934,-1.7768449010173837,1.560600560082919,(-0.03061814010470698+0j),(213.7749942931241+0j),False
0.40123,3.127016733382502,-1.7767515114255243,1.56067285407519,(-0.022502479128888808+0j),(213.73179546408755+0j),False
0.40124,3.127009247431469,-1.7766581192362096,1.5607451461111972,(0.07839925692678662+0j),(213.55586470164326+0j),False
0.40125,3.1270017605927007,-1.7765647244491174,1.5608174361908531,(-0.13831265664975945+0j),(213.51654654945287+0j),False
0.40126,3.126994272866113,-1.7764713270643258,1.5608897243137616,(0.06401295600790036+0j),(213.1684768329278+0j),False
0.40127,3.1269867842516166,-1.7763779270816904,1.5609620104796993,(-0.024747005691097+0j),(213.19844143607952+0j),False
0.40128,3.12697929474911,-1.7762845245013517,1.5610342946882183,(-0.05266127195045556+0j),(213.02538886010825+0j),False
0.40129,3.1269718043585133,-1.7761911193230302,1.5611065769392012,(-0.14650529701066262+0j),(212.8760825907175+0j),False
0.4013,3.1269643130797316,-1.7760977115468668,1.561178857232201,(0.07568706472920894+0j),(212.65479667187265+0j),False
0.40131,3.12695682091268,-1.7760043011725648,1.5612511355671106,(0.19389282686006482+0j),(212.2952627468294+0j),False
0.40132,3.126949327857262,-1.775910888200325,1.5613234119434394,(0.029313205443941115+0j),(212.30880770370823+0j),False
0.40133,3.126941833913393,-1.775817472629876,1.5613956863610612,(0.016728089552998426+0j),(212.2862492710592+0j),False
0.40134,3.1269343390809747,-1.7757240544614024,1.5614679588194957,(0.008966739713287097+0j),(212.18343141985406+0j),False
0.40135,3.1269268433599224,-1.7756306336946,1.5615402293186424,(0.00243487767966144+0j),(211.85789916093108+0j),False
0.40136,3.126919346750149,-1.775537210329413,1.5616124978582075,(0.038234177599406394+0j),(211.8114421570108+0j),False
0.40137,3.1269118492515586,-1.7754437843659983,1.5616847644377339,(-0.03261249574916292+0j),(211.63198006187486+0j),False
0.40138,3.126904350864062,-1.775350355804189,1.561757029057013,(-0.03094795802826411+0j),(211.55663657022524+0j),False
0.40139,3.126896851587567,-1.775256924643949,1.5618292917157361,(-0.0044435752779463655+0j),(211.38417750589178+0j),False
0.4014,3.126889351421987,-1.7751634908851794,1.561901552413645,(0.023619840329047292+0j),(211.24036439937663+0j),False
0.40141,3.1268818503672304,-1.7750700545277618,1.5619738111504928,(0.05018201567600045+0j),(211.31936942121683+0j),False
0.40142,3.1268743484232107,-1.7749766155716988,1.5620460679259436,(0.013734579523770662+0j),(210.91323644289423+0j),False
0.40143,3.1268668455898285,-1.774883174017088,1.5621183227395827,(0.12359907514110091+0j),(210.59784039552324+0j),False
0.40144,3.126859341867002,-1.7747897298636106,1.56219057559132,(0.057026651817977836+0j),(210.55407274286245+0j),False
0.40145,3.1268518372546343,-1.77469628311138,1.5622628264807323,(0.0734517597447848+0j),(210.57231350052734+0j),False
0.40146,3.1268443317526415,-1.7746028337602364,1.5623350754076064,(0.05405959211020672+0j),(210.49002938078866+0j),False
0.40147,3.1268368253609244,-1.7745093818102653,1.5624073223715382,(0.03996871458275564+0j),(210.20298040239686+0j),False
0.40148,3.1268293180794036,-1.7744159272612212,1.5624795673723837,(0.011241840558795957+0j),(210.19217443531306+0j),False
0.40149,3.1268218099079785,-1.7743224701131737,1.5625518104097496,(0.07822718437546428+0j),(210.0305071464718+0j),False
0.4015,3.1268143008465645,-1.774229010366113,1.5626240514833074,(-0.08376149234663899+0j),(210.01580819547507+0j),False
0.40151,3.1268067908950723,-1.7741355480196987,1.562696290592985,(-0.15386549030336027+0j),(209.84945499078185+0j),False
0.40152,3.1267992800534086,-1.7740420830742456,1.5627685277382006,(-0.10369220182656136+0j),(209.76935438574947+0j),False
0.40153,3.1267917683214783,-1.7739486155294861,1.5628407629188246,(0.059528370881707815+0j),(209.37071350875976+0j),False
0.40154,3.126784255699198,-1.7738551453855038,1.562912996134456,(0.02447042472431349+0j),(209.07714666063202+0j),False
0.40155,3.126776742186479,-1.7737616726419787,1.562985227385005,(-0.03288740605694329+0j),(209.10926259816097+0j),False
0.40156,3.1267692277832246,-1.7736681972990256,1.563057456670047,(-0.021462168336256582+0j),(208.87471048995485+0j),False
0.40157,3.126761712489341,-1.7735747193566693,1.5631296839892235,(-0.07876953032973688+0j),(209.07648091925876+0j),False
0.40158,3.126754196304751,-1.7734812388148438,1.5632019093422524,(-0.017431008049243246+0j),(208.84598355046455+0j),False
0.40159,3.126746679229353,-1.7733877556731314,1.5632741327291162,(0.023078528653968533+0j),(208.4279808741794+0j),False
0.4016,3.1267391612630573,-1.77329426993192,1.5633463541491797,(-0.016560380337068636+0j),(208.46452340719497+0j),False
0.40161,3.126731642405778,-1.7732007815909856,1.563418573602279,(-0.0006767741106159519+0j),(208.39978122139382+0j),False
0.40162,3.1267241226574205,-1.7731072906502034,1.563490791088174,(-0.038294363705063006+0j),(208.37369520924221+0j),False
0.40163,3.1267166020178943,-1.7730137971096,1.5635630066065058,(-0.030296036177787755+0j),(208.16562904505645+0j),False
0.40164,3.1267090804871147,-1.772920300969102,1.563635220156996,(0.02124765888765978+0j),(207.7702741108733+0j),False
0.40165,3.126701558064982,-1.7728268022286156,1.5637074317393787,(0.08724498907758971+0j),(207.87261764894993+0j),False
0.40166,3.126694034751415,-1.77273330088807,1.5637796413533727,(0.058498492508078925+0j),(207.55739135294334+0j),False
0.40167,3.1266865105440087,-1.7726397966054792,1.5638518492651736,(0.03569516733932687+0j),(207.57350338023662+0j),False
0.40168,3.126678985447355,-1.772546290072259,1.563924054935563,(0.05785080528403341+0j),(207.41370076710064+0j),False
0.40169,3.12667145945899,-1.7724527809387325,1.5639962586367437,(0.042187487581031746+0j),(207.12360645147965+0j),False
0.4017,3.12666393257882,-1.772359269205006,1.5640684603682964,(0.031233178602633416+0j),(206.87190680496587+0j),False
0.40171,3.126656404806762,-1.7722657548708263,1.5641406601300798,(-0.06880274069317238+0j),(206.96029746869135+0j),False
0.40172,3.126648876142722,-1.7721722379362697,1.5642128579216963,(0.04246384901489364+0j),(206.81091308939358+0j),False
0.40173,3.1266413465866014,-1.7720787184012747,1.5642850537428588,(-0.018645549113898596+0j),(206.63488345504538+0j),False
0.40174,3.126633816138318,-1.7719851962659081,1.5643572475931766,(-0.02664011222532281+0j),(206.60001433361595+0j),False
0.40175,3.126626284797782,-1.7718916715297075,1.5644294394726712,(-0.1162229319634207+0j),(206.45507781446304+0j),False
0.40176,3.126618752564897,-1.7717981441930595,1.5645016293807061,(0.04960934504924808+0j),(206.54816758642664+0j),False
0.40177,3.1266112194395754,-1.771704614255654,1.5645738173171833,(-0.0644886235213562+0j),(206.2088793259436+0j),False
0.40178,3.126603685421726,-1.7716110817174153,1.564646003281824,(-0.0220121346446831+0j),(205.90738058132865+0j),False
0.40179,3.126596150511259,-1.7715175465784863,1.564718187274181,(-0.08433985424926504+0j),(205.98574346140322+0j),False
0.4018,3.1265886147080817,-1.7714240088385973,1.5647903692941252,(-0.03109208126898011+0j),(205.65497153174965+0j),False
0.40181,3.1265810780121046,-1.7713304684978042,1.5648625493412767,(0.10192217312578578+0j),(205.49873996961378+0j),False
0.40182,3.1265735404232373,-1.7712369255560223,1.564934727415361,(-0.009537043595628347+0j),(205.42802412274887+0j),False
0.40183,3.126566001941383,-1.771143380013225,1.5650069035160648,(-0.016753913228967576+0j),(205.33716510517206+0j),False
0.40184,3.126558462566463,-1.771049831869239,1.5650790776431829,(0.0800335737894784+0j),(205.11344379719958+0j),False
0.40185,3.126550922298375,-1.770956281124251,1.5651512497962334,(-0.01647713087641023+0j),(205.07737226445806+0j),False
0.40186,3.1265433811370364,-1.7708627277778546,1.5652234199751942,(-0.03885732921662566+0j),(204.99599460176523+0j),False
0.40187,3.126535839082351,-1.7707691718302203,1.565295588179595,(-0.02818075220056926+0j),(204.5888051022048+0j),False
0.40188,3.1265282961342264,-1.7706756132813304,1.5653677544091125,(0.024470523989293724+0j),(204.4660062887324+0j),False
0.40189,3.126520752292579,-1.770582052130867,1.565439918663654,(-0.04001269465607038+0j),(204.50474152984134+0j),False
0.4019,3.126513207557311,-1.7704884883790524,1.5655120809427099,(-0.06953424424318655+0j),(204.53027616411782+0j),False
0.40191,3.1265056619283356,-1.7703949220257136,1.5655842412460794,(-0.030255176920945814+0j),(204.09529578843376+0j),False
0.40192,3.1264981154055596,-1.7703013530708582,1.5656563995734163,(-0.06333391929456411+0j),(204.20959914625655+0j),False
0.40193,3.1264905679888915,-1.7702077815142325,1.5657285559245795,(0.09951347859077941+0j),(203.72593078161935+0j),False
0.40194,3.126483019678246,-1.7701142073560552,1.565800710299063,(0.035208450699428795+0j),(203.72409557071296+0j),False
0.40195,3.1264754704735234,-1.7700206305959423,1.5658728626968255,(0.0641227594742304+0j),(203.80613895623355+0j),False
0.40196,3.1264679203746417,-1.7699270512341336,1.5659450131173458,(-0.09294621994104091+0j),(203.62816695636047+0j),False
0.40197,3.1264603694505797,-1.7698334660463202,1.5660171639893559,(-0.019752745752157352+0j),(203.05178720318145+0j),False
0.40198,3.126452817562723,-1.7697398814983987,1.566089310441242,(0.034415418621392746+0j),(203.21905655648789+0j),False
0.40199,3.1264452647804535,-1.7696462943473392,1.5661614549159686,(-0.04899542688326619+0j),(203.11929390088244+0j),False
0.402,3.126437711103642,-1.7695527045949069,1.5662335974118635,(-0.026529263914198964+0j),(203.1724625041461+0j),False
0.40201,3.126430156532217,-1.7694591122401984,1.5663057379292729,(0.17770306944748882+0j),(202.78938073571953+0j),False
0.40202,3.1264226010661,-1.7693655172825762,1.56637787646834,(0.0294708454684951+0j),(202.78654696738158+0j),False
0.40203,3.1264150447051677,-1.7692719197231745,1.5664500130278736,(-0.1154245913030536+0j),(202.8241326717589+0j),False
0.40204,3.1264074874493453,-1.7691783195614053,1.5665221476079816,(0.0006304038970483816+0j),(202.60065384747668+0j),False
0.40205,3.1263999292985476,-1.7690847167970176,1.5665942802085155,(0.06610697384257946+0j),(202.32329958185983+0j),False
0.40206,3.1263923702526695,-1.768991111430584,1.566666410828707,(0.03961901123602729+0j),(202.11483530494752+0j),False
0.40207,3.1263848103116496,-1.768897503460453,1.5667385394694637,(0.033331856039694685+0j),(202.2625236507829+0j),False
0.40208,3.1263772494753503,-1.7688038928889327,1.5668106661287118,(-0.0032518082271053572+0j),(201.8304990026927+0j),False
0.40209,3.1263696877437233,-1.7687102797139667,1.5668827908076615,(-0.017623124387682765+0j),(201.8182189590716+0j),False
0.4021,3.1263621251166445,-1.768616663936887,1.5669549135049734,(0.004086253731657052+0j),(201.70902017038316+0j),False
0.40211,3.126354561594059,-1.7685230455559782,1.567027034221602,(-0.048024825947322825+0j),(201.56547214649527+0j),False
0.40212,3.1263469971758315,-1.768429424573478,1.5670991529555267,(-0.09691271251722355+0j),(201.76907744061828+0j),False
0.40213,3.126339431861906,-1.768335800987329,1.5671712697079592,(0.03215077269123867+0j),(201.24732517421307+0j),False
0.40214,3.12633186565217,-1.7682421747985524,1.5672433844777929,(0.01835092467808863+0j),(201.22536489301638+0j),False
0.40215,3.1263242985465514,-1.768148546006461,1.5673154972652092,(-0.001990501140426204+0j),(201.16644319472562+0j),False
0.40216,3.126316730544938,-1.7680549146116966,1.5673876080693898,(-0.058702208332761074+0j),(200.80725427695506+0j),False
0.40217,3.126309161647262,-1.7679612806132652,1.5674597168907438,(-0.0014034365631232504+0j),(200.5782524471242+0j),False
0.40218,3.126301591853409,-1.7678676440120205,1.5675318237282927,(-0.0007197511267804657+0j),(200.68640759521986+0j),False
0.40219,3.1262940211633037,-1.767774004807265,1.5676039285822245,(0.04958797160179529+0j),(200.32935094222557+0j),False
0.4022,3.1262864495768534,-1.7676803629990763,1.5676760314521436,(0.08408532884004671+0j),(200.34403879262118+0j),False
0.40221,3.126278877093958,-1.7675867185877907,1.5677481323374582,(-0.03891742617179261+0j),(200.1394088142597+0j),False
0.40222,3.126271303714536,-1.7674930715726267,1.5678202312384244,(-0.04344662884432182+0j),(200.34250352438085+0j),False
0.40223,3.1262637294384783,-1.767399421954635,1.5678923281539094,(0.07868373534802231+0j),(200.09482180063878+0j),False
0.40224,3.1262561542657226,-1.7673057697324706,1.5679644230845935,(-0.031148565473813505+0j),(199.60096164773404+0j),False
0.40225,3.1262485781961624,-1.7672121149065738,1.568036516029804,(0.03939875168543949+0j),(199.65491417562407+0j),False
0.40226,3.1262410012296895,-1.7671184574777583,1.5681086069885934,(-0.026319643568967876+0j),(199.71666877620282+0j),False
0.40227,3.1262334233662505,-1.7670247974442215,1.5681806959619808,(-0.04599126536777476+0j),(199.50927892747222+0j),False
0.40228,3.1262258446057136,-1.7669311348076115,1.5682527829483879,(-0.002896309138122888+0j),(199.3489933580313+0j),False
0.40229,3.126218264948011,-1.7668374695668618,1.5683248679482822,(-0.028939763622474857+0j),(199.14615451117152+0j),False
0.4023,3.126210684393059,-1.7667438017217736,1.568396950961476,(-0.023411317431964562+0j),(198.98642707072395+0j),False
0.40231,3.1262031029407447,-1.7666501312730494,1.5684690319871017,(0.08795869867481088+0j),(198.83244351590565+0j),False
0.40232,3.1261955205909864,-1.7665564582203102,1.5685411110251086,(-0.00741996153465152+0j),(199.0752568020871+0j),False
