Omega,x,x0,v0,stable,floquet
0.724,3.1936205618674247,3.1302281628016715,0.0002966023509497,False,[1.76688004e+05 3.86344618e-06]
0.725,3.193602929289445,3.1302469406046707,0.0002970645018226,False,[1.73768231e+05 3.93037044e-06]
0.726,3.1935852917787924,3.1302657217840046,0.000297526009936,False,[1.70904552e+05 3.99812416e-06]
0.727,3.19356764938211,3.130284506294013,0.0002979868668174,False,[1.68095748e+05 4.06707113e-06]
0.728,3.193550002184886,3.1303032940839994,0.0002984470713136,False,[1.65340634e+05 4.13729867e-06]
0.729,3.1935323502221276,3.130322085103868,0.0002989066214803,False,[1.62638050e+05 4.20799188e-06]
0.73,3.193514693547966,3.1303408793032825,0.0002993655159203,False,[1.59986864e+05 4.27982013e-06]
0.731,3.193497032216176,3.1303596766320045,0.000299823753259,False,[1.57385973e+05 4.35301627e-06]
0.732,3.193479366274208,3.1303784770401144,0.0003002813317858,False,[1.54834297e+05 4.42723103e-06]
0.733,3.1934616957739603,3.1303972804775877,0.000300738250132,False,[1.52330785e+05 4.50201333e-06]
0.734,3.193444020762746,3.130416086894736,0.0003011945065751,False,[1.49874408e+05 4.57807619e-06]
0.735,3.1934263413869686,3.130434896241714,0.0003016500998137,False,[1.47464167e+05 4.65550693e-06]
0.736,3.193408657534877,3.13045370846902,0.0003021050281849,False,[1.45099077e+05 4.73382534e-06]
0.737,3.193390969324308,3.1304725235270894,0.0003025592902886,False,[1.42778183e+05 4.81303141e-06]
0.738,3.193373276805129,3.130491341366496,0.0003030128846913,False,[1.40500552e+05 4.89350350e-06]
0.739,3.193355580025462,3.1305101619380395,0.0003034658097866,False,[1.38265271e+05 4.97538713e-06]
0.74,3.1933378782127324,3.130528985267614,0.000303917951311,False,[1.36071429e+05 5.05801290e-06]
0.741,3.19332017321184,3.1305478111456133,0.000304369549261,False,[1.33918202e+05 5.14180283e-06]
0.742,3.193302464114192,3.130566639606656,0.0003048204763348,False,[1.31804715e+05 5.22696064e-06]
0.743,3.1932847508835898,3.1305854706081795,0.0003052707214607,False,[1.29730136e+05 5.31347177e-06]
0.744,3.193267033606838,3.130604304099456,0.0003057202862648,False,[1.27693655e+05 5.40068868e-06]
0.745,3.1932493123712846,3.130623140028621,0.0003061691742533,False,[1.25694482e+05 5.48926619e-06]
0.746,3.193231587202528,3.130641978348561,0.0003066173818092,False,[1.23731841e+05 5.57925523e-06]
0.747,3.193213858152773,3.1306608190110534,0.0003070649072511,False,[1.21804978e+05 5.67051029e-06]
0.748,3.1931961252712417,3.130679661967444,0.0003075117496423,False,[1.19913153e+05 5.76256571e-06]
0.749,3.1931783885899163,3.130698507171448,0.0003079579047167,False,[1.18055646e+05 5.85609087e-06]
0.75,3.193160648192756,3.130717354570343,0.0003084033780165,False,[1.16231750e+05 5.95102756e-06]
0.751,3.1931429041102493,3.1307362041201228,0.0003088481621601,False,[1.14440778e+05 6.04717206e-06]
0.752,3.1931251563922904,3.1307550557715587,0.000309292257785,False,[1.12682056e+05 6.14435703e-06]
0.753,3.1931074050889765,3.130773909476611,0.0003097356639097,False,[1.10954925e+05 6.24301902e-06]
0.754,3.1930896502469754,3.130792765187645,0.0003101783791078,False,[1.09258743e+05 6.34322350e-06]
0.755,3.19307189192059,3.1308116228563483,0.000310620403144,False,[1.07592882e+05 6.44463580e-06]
0.756,3.193054130150793,3.1308304824359605,0.0003110617336277,False,[1.05956726e+05 6.54713222e-06]
0.757,3.1930363649860736,3.130849343879074,0.0003115023693137,False,[1.04349675e+05 6.65116386e-06]
0.758,3.1930185964723297,3.130868207138417,0.0003119423089089,False,[1.02771143e+05 6.75671618e-06]
0.759,3.1930008247435513,3.1308870721665616,0.0003123815515242,False,[1.01220556e+05 6.86357816e-06]
0.76,3.1929830497010703,3.130905938916797,0.0003128200953742,False,[9.96973521e+04 6.97162614e-06]
0.761,3.192965271455217,3.130924807341869,0.000313257939647,False,[9.82009826e+04 7.08120933e-06]
0.762,3.1929474900530455,3.1309436773949826,0.0003136950830185,False,[9.67309117e+04 7.19237141e-06]
0.763,3.1929297055391497,3.1309625490295057,0.0003141315240723,False,[9.52866148e+04 7.30486499e-06]
0.764,3.1929119196716154,3.130981421679857,0.0003145680130496,False,[9.38676042e+04 7.41864642e-06]
0.765,3.1928941288454347,3.1310002964016483,0.0003150029527131,False,[9.24733248e+04 7.53405766e-06]
0.766,3.1928763349598763,3.131019172569157,0.0003154371800171,False,[9.11033139e+04 7.65114964e-06]
0.767,3.192858538295463,3.131038050114145,0.0003158707270593,False,[8.97570952e+04 7.76958768e-06]
0.768,3.192840738837747,3.131056928996406,0.000316303583534,False,[8.84341988e+04 7.88934994e-06]
0.769,3.1928229364394314,3.131075809192023,0.0003167357149647,False,[8.71341634e+04 8.01078568e-06]
0.77,3.1928051313383623,3.131094690632127,0.000317167154504,False,[8.58565429e+04 8.13397492e-06]
0.771,3.192787323528885,3.1311135732790856,0.0003175978887902,False,[8.46008975e+04 8.25857569e-06]
0.772,3.192769513048421,3.131132457085874,0.0003180279183469,False,[8.33667980e+04 8.38457345e-06]
0.773,3.1927516999231482,3.1311513420095096,0.0003184572380187,False,[8.21538240e+04 8.51228106e-06]
0.774,3.1927338842502198,3.131170227999432,0.0003188858542659,False,[8.09615653e+04 8.64172034e-06]
0.775,3.1927160659489076,3.131189115026461,0.0003193137417142,False,[7.97896185e+04 8.77277489e-06]
0.776,3.1926982451815373,3.1312080030309186,0.0003197409205136,False,[7.86375916e+04 8.90520460e-06]
0.777,3.192680421978109,3.13122689196906,0.0003201673873912,False,[7.75050995e+04 9.03943874e-06]
0.778,3.1926625963739808,3.1312457817956507,0.0003205931412829,False,[7.63917657e+04 9.17547732e-06]
0.779,3.1926447683952435,3.131264672471047,0.000321018173264,False,[7.52972215e+04 9.31317481e-06]
0.78,3.192626938064604,3.1312835639526253,0.0003214424787538,False,[7.42211060e+04 9.45237844e-06]
0.781,3.192609105484875,3.13130245618676,0.0003218660697741,False,[7.31630671e+04 9.59340832e-06]
0.782,3.1925912706466084,3.1313213491376195,0.0003222889321025,False,[7.21227589e+04 9.73620627e-06]
0.783,3.1925734336253817,3.1313402427553974,0.0003227110723817,False,[7.10998436e+04 9.88085958e-06]
0.784,3.192555594522618,3.1313591369975238,0.000323132486733,False,[7.00939910e+04 1.00271136e-05]
0.785,3.192537753274106,3.1313780318187074,0.0003235531754341,False,[6.91048763e+04 1.01751430e-05]
0.786,3.192519909969463,3.1313969271758157,0.0003239731357988,False,[6.81321829e+04 1.03250131e-05]
0.787,3.1925020646522246,3.1314158230240365,0.0003243923676964,False,[6.71756007e+04 1.04768333e-05]
0.788,3.192484217367983,3.131434719319842,0.00032481086936,False,[6.62348259e+04 1.06303632e-05]
0.789,3.19246636815917,3.13145361601941,0.0003252286395649,False,[6.53095610e+04 1.07856613e-05]
0.79,3.192448517073328,3.131472513078557,0.0003256456778221,False,[6.43995152e+04 1.09429020e-05]
0.791,3.192430664150866,3.1314914104540468,0.0003260619823777,False,[6.35044032e+04 1.11021982e-05]
0.792,3.192412809434928,3.1315103081025,0.0003264775518761,False,[6.26239461e+04 1.12633024e-05]
0.793,3.1923949522972936,3.13152920658428,0.0003268915215727,False,[6.17578653e+04 1.14261748e-05]
0.794,3.192377094223333,3.131548104580252,0.0003273057153281,False,[6.09059046e+04 1.15910552e-05]
0.795,3.1923592343924305,3.131567002734013,0.0003277191485922,False,[6.00677952e+04 1.17579912e-05]
0.796,3.1923413731158954,3.131585900978234,0.0003281318577952,False,[5.92432825e+04 1.19269462e-05]
0.797,3.192323510184082,3.1316047992903373,0.0003285438099243,False,[5.84321132e+04 1.20976983e-05]
0.798,3.192305645657831,3.1316236976270546,0.0003289550046136,False,[5.76340416e+04 1.22705060e-05]
0.799,3.1922877797084555,3.131642595932802,0.0003293654604678,False,[5.68488273e+04 1.24453618e-05]
0.8,3.192269912271655,3.131661494171923,0.0003297751651724,False,[5.60762336e+04 1.26224113e-05]
0.801,3.1922520434622235,3.131680392295595,0.0003301841274046,False,[5.53160296e+04 1.28013453e-05]
0.802,3.1922341733003288,3.131699290266216,0.0003305923390609,False,[5.45679888e+04 1.29823420e-05]
0.803,3.1922163018028638,3.131718188041752,0.0003309997980902,False,[5.38318891e+04 1.31654997e-05]
0.804,3.192198429061516,3.1317370855722944,0.0003314065150472,False,[5.31075133e+04 1.33508620e-05]
0.805,3.192180555051506,3.131755982825425,0.0003318124742784,False,[5.23946480e+04 1.35383452e-05]
0.806,3.1921626798709677,3.1317748797527147,0.0003322176845273,False,[5.16930851e+04 1.37278439e-05]
0.807,3.1921448035311584,3.1317937763132213,0.0003326221429962,False,[5.10026197e+04 1.39195909e-05]
0.808,3.1921269261122065,3.131812672462756,0.0003330258525257,False,[5.03230520e+04 1.41135642e-05]
0.809,3.192109047632762,3.131831568161764,0.0003334288087591,False,[4.96541854e+04 1.43098187e-05]
0.81,3.192091168125241,3.131850463368036,0.0003338310114499,False,[4.89958276e+04 1.45081685e-05]
0.811,3.192073287726154,3.131869358038118,0.0003342324628114,False,[4.83477906e+04 1.47088067e-05]
0.812,3.192055406331336,3.131888252133483,0.0003346331572751,False,[4.77098890e+04 1.49117186e-05]
0.813,3.1920375240604613,3.131907145609692,0.0003350330987852,False,[4.70819422e+04 1.51169988e-05]
0.814,3.1920196409310857,3.131926038427193,0.0003354322837538,False,[4.64637727e+04 1.53245674e-05]
0.815,3.192001757008902,3.131944930543733,0.0003358307132265,False,[4.58552068e+04 1.55343259e-05]
0.816,3.1919838723236045,3.1319638219182946,0.0003362283861831,False,[4.52560739e+04 1.57464892e-05]
0.817,3.1919659869153794,3.1319827125103896,0.0003366253011424,False,[4.46662072e+04 1.59610208e-05]
0.818,3.191948100832244,3.1320016022784625,0.0003370214584144,False,[4.40854428e+04 1.61780736e-05]
0.819,3.19193021410846,3.132020491182369,0.0003374168562768,False,[4.35136203e+04 1.63974291e-05]
0.82,3.191912326794827,3.13203937918042,0.0003378114955805,False,[4.29505824e+04 1.66191712e-05]
