Omega,x,x0,v0,stable,floquet
0.777,2.2672214594996305,0.0411151469057116,1.9529386562836668,True,[0.79970607 0.87608379]
0.778,2.2649482961485954,-0.0110665499687991,1.9531294747125865,True,[0.829406+0.11408639j 0.829406-0.11408639j]
0.779,2.2620633583058356,-0.0473368489901347,1.9517017084703607,True,[0.82365697+0.1511258j 0.82365697-0.1511258j]
0.78,2.258918220010573,-0.0769248653345093,1.9495851787519352,True,[0.81907949+0.1751506j 0.81907949-0.1751506j]
0.781,2.2556163284603428,-0.1025672746241689,1.947054818414233,True,[0.81520488+0.19320564j 0.81520488-0.19320564j]
0.782,2.2522050045204582,-0.125524896868478,1.94423697716482,True,[0.81181561+0.20775132j 0.81181561-0.20775132j]
0.783,2.248710512203439,-0.1465024424438812,1.9412021232366423,True,[0.80878924+0.21995974j 0.80878924-0.21995974j]
0.784,2.2451491768166334,-0.1659410552628585,1.9379942874958307,True,[0.80604853+0.23048763j 0.80604853-0.23048763j]
0.785,2.2415319397890925,-0.1841385378062177,1.9346431432812088,True,[0.80354096+0.23974256j 0.80354096-0.23974256j]
0.786,2.2378665409462353,-0.2013071380499679,1.931169800234522,True,[0.80122882+0.24799612j 0.80122882-0.24799612j]
0.787,2.234158678482575,-0.2176043023170022,1.9275899102442888,True,[0.79908392+0.25543896j 0.79908392-0.25543896j]
0.788,2.2304126838727445,-0.2331506795980143,1.9239154533591245,True,[0.79708447+0.26221047j 0.79708447-0.26221047j]
0.789,2.2266319335349203,-0.248041110637321,1.9201558391821785,True,[0.79521322+0.26841584j 0.79521322-0.26841584j]
0.79,2.222819114013219,-0.2623517257998125,1.9163186176796756,True,[0.79345623+0.27413654j 0.79345623-0.27413654j]
0.791,2.2189763997997427,-0.2761447204345296,1.912409955686392,True,[0.79180199+0.2794371j 0.79180199-0.2794371j]
0.792,2.2151055767635,-0.2894716842593275,1.9084349656492547,True,[0.79024089+0.28436951j 0.79024089-0.28436951j]
0.793,2.211208128649728,-0.3023759182085128,1.904397946395812,True,[0.78876479+0.28897636j 0.78876479-0.28897636j]
0.794,2.2072853027047477,-0.3148942325687267,1.9003025476680016,True,[0.78736672+0.29329299j 0.78736672-0.29329299j]
0.795,2.2033381546163735,-0.3270581577368796,1.896151906934852,True,[0.78604066+0.29734908j 0.78604066-0.29734908j]
0.796,2.1993675876128536,-0.3388950105962325,1.891948736790396,True,[0.78478134+0.30116983j 0.78478134-0.30116983j]
0.797,2.1953743780633497,-0.3504285912988783,1.8876954065740064,True,[0.78358413+0.30477682j 0.78358413-0.30477682j]
0.798,2.1913591975345894,-0.3616797855125155,1.8833940000473044,True,[0.78244494+0.30818866j 0.78244494-0.30818866j]
0.799,2.187322630365153,-0.372667053580514,1.8790463588936452,True,[0.78136012+0.31142158j 0.78136012-0.31142158j]
0.8,2.1832651865508903,-0.3834067795131425,1.8746541237578889,True,[0.78032641+0.31448976j 0.78032641-0.31448976j]
0.801,2.1791873134692357,-0.39391359116877,1.8702187623717783,True,[0.77934084+0.31740572j 0.77934084-0.31740572j]
0.802,2.1750894046148534,-0.4042006081375099,1.8657415941724949,True,[0.77840078+0.32018055j 0.77840078-0.32018055j]
0.803,2.1709718070649147,-0.4142796464760552,1.8612238107553405,True,[0.77750378+0.32282411j 0.77750378-0.32282411j]
0.804,2.166834827631286,-0.4241613897390182,1.85666649271245,True,[0.77664764+0.32534525j 0.77664764-0.32534525j]
0.805,2.1626787380980335,-0.4338555371607734,1.8520706227850663,True,[0.77583033+0.32775189j 0.77583033-0.32775189j]
0.806,2.158503777172672,-0.443370857481898,1.8474371099672215,True,[0.77505001+0.3300512j 0.77505001-0.3300512j]
0.807,2.1543101628636787,-0.4527155155429993,1.8427667591564936,True,[0.77430495+0.33224968j 0.77430495-0.33224968j]
0.808,2.1500980826721916,-0.4618968386369387,1.838060337122008,True,[0.77359356+0.33435321j 0.77359356-0.33435321j]
0.809,2.1458677049600174,-0.470921605228673,1.8333185419497828,True,[0.77291438+0.33636716j 0.77291438-0.33636716j]
0.81,2.1416191790171606,-0.4797960553451249,1.8285420189224737,True,[0.77226605+0.33829646j 0.77226605-0.33829646j]
0.811,2.1373526370306637,-0.488525945757567,1.8237313661883896,True,[0.77164729+0.3401456j 0.77164729-0.3401456j]
0.812,2.133068195810189,-0.4971165991988427,1.8188871394445396,True,[0.77105691+0.34191873j 0.77105691-0.34191873j]
0.813,2.1287659582925755,-0.5055729471371058,1.8140098560676725,True,[0.7704938+0.34361966j 0.7704938-0.34361966j]
0.814,2.1244460148320448,-0.5138995671640377,1.8090999987627023,True,[0.76995692+0.34525193j 0.76995692-0.34525193j]
0.815,2.1201084443837783,-0.52210071590391,1.8041580187736148,True,[0.7694453+0.34681879j 0.7694453-0.34681879j]
0.816,2.1157533154404313,-0.5301803546685524,1.79918433956597,True,[0.76895801+0.34832328j 0.76895801-0.34832328j]
0.817,2.111380687168811,-0.5381421902050131,1.7941793556566192,True,[0.76849418+0.34976822j 0.76849418-0.34976822j]
0.818,2.106990609824349,-0.5459896734844378,1.7891434407478883,True,[0.76805299+0.35115622j 0.76805299-0.35115622j]
0.819,2.1025831257202943,-0.5537260368215706,1.7840769456678367,True,[0.76763367+0.35248973j 0.76763367-0.35248973j]
0.82,2.09815826980425,-0.5613543085926183,1.7789802009982163,True,[0.76723548+0.35377104j 0.76723548-0.35377104j]
0.821,2.093716070209666,-0.568877329096324,1.7738535187992075,True,[0.76685774+0.3550023j 0.76685774-0.3550023j]
0.822,2.089256548714208,-0.5762977622902672,1.7686971948622414,True,[0.76649977+0.35618551j 0.76649977-0.35618551j]
0.823,2.084779721389774,-0.5836181212118826,1.7635115066959652,True,[0.76616096+0.35732255j 0.76616096-0.35732255j]
